3.656601627903237062e-01	5.618100388063229644e-01	3.574944387085746134e-01	2.761454453459297187e-01	5.621907139807423848e-01	3.784770938845492538e-01	5.065483778534243253e-01	3.179455739910887480e-01
5.264629676778812550e-01	8.099405514859058242e-01	5.226280091501989133e-01	4.738641144980965114e-01	4.821970661185145945e-01	5.124280849463482834e-01	3.992543203060601176e-01	7.613334880215039124e-01
6.598308823784244659e-01	4.419644315117707278e-01	6.470691670566924847e-01	5.096605202585388072e-01	6.150654722425901166e-01	6.512392483298731216e-01	8.845250808072844251e-01	8.214265610508759696e-01
6.487135749846667521e-01	7.708928258059085659e-01	6.280914754400266364e-01	6.272958313264304087e-01	8.450823931720071736e-01	6.609560756359617040e-01	6.573857519957249096e-01	7.517157270768117794e-01
8.036750502463118062e-01	4.998597342303841562e-01	7.048927937314815040e-01	5.424585524015160809e-01	8.233131101479441716e-01	8.159756720698283505e-01	7.131009062308255597e-01	6.445844778845749579e-01
1.000000000000000000e+00	6.886431222890064818e-01	5.673219672624467691e-01	9.246752265502390378e-01	7.144917578408170877e-01	4.391017532118122180e-01	5.183004361590574094e-01	6.460072490840570447e-01
5.441078953635555271e-01	3.784392078344814281e-01	5.944830380067948061e-01	4.310553262210597425e-01	6.938314178219335826e-01	6.822578965080353663e-01	8.868182969170647079e-01	7.787737622384397485e-01
2.088103742722367540e-01	3.102044841138310582e-01	1.068268706849501842e-01	2.054656859570186123e-01	4.874771931337507080e-02	1.241641426064867965e-01	1.642067495755903661e-01	4.618412882019350962e-01
2.089498220659960839e-02	8.522763336591333838e-02	4.836145643318324333e-02	2.714888158631963422e-01	2.062560148061212684e-01	2.545867130684617563e-01	3.106823015738656088e-02	2.308483511778850195e-01
3.053745031176215430e-01	1.311830620665683234e-01	1.236820069916452769e-01	1.320459688743074733e-01	2.595637561443425168e-01	6.113835214591599454e-02	1.495161696281329389e-01	1.327282018373424355e-01
7.357482254588255943e-02	3.602874726580554410e-01	1.097132626664128335e-01	2.171991980773897990e-01	2.157037441156856583e-01	7.100433808382304590e-02	1.851507428667025501e-01	7.324923630896910953e-02
1.103515781356036868e-01	3.821372935657351144e-01	3.428559765478571553e-01	1.785939277412531834e-01	1.493258718484410108e-01	9.126987297531991006e-02	1.382430602769101902e-01	2.940426645686600171e-01
1.489980800005084871e-01	5.313768504988598540e-01	2.179211425525857670e-01	6.360155687125130797e-01	1.989803788602151624e-01	4.195147962797512453e-01	2.990383020106259782e-01	3.902995535698343121e-01
2.785589567545314615e-01	2.490235073132922028e-01	3.775490889507626679e-01	3.181255629963511411e-01	2.525459677668349112e-01	3.296810789581599010e-01	3.324284285648416160e-01	1.588077794809611976e-01
4.039029302211704087e-01	2.911877465383898578e-01	5.608466120450859155e-02	3.353719971135826761e-01	2.080554223641766787e-01	1.053165797750365007e-01	4.612135538455021666e-01	1.337654765671690560e-01
3.028307745236612503e-01	6.003287220260822288e-01	1.460799172273113677e-01	2.862511012296808932e-01	5.834656315596338239e-01	4.025389009166526200e-01	1.042873350580168224e-01	1.200063177934930780e-01
7.370190145753409416e-02	2.199631850302227187e-01	4.285422106377696494e-01	1.116960533696897961e-01	4.637905690053865659e-01	3.154724280382534829e-01	3.195337527020739032e-01	5.843714786681581952e-01
5.511213244060653160e-01	5.536435619506862027e-01	4.108843754330920861e-01	2.613223962743800310e-01	2.807371247454015228e-01	5.808231349547593458e-01	5.713674861454354215e-01	5.349495741206163890e-01
7.446731347722487238e-01	3.616549228010227379e-01	1.731240546922481749e-01	6.544678269008623595e-01	2.733233222587391209e-01	4.716007326129448840e-01	4.457164901973597604e-01	1.113801148278762698e-01
1.017489861755485892e-01	3.215170372244721686e-01	3.440136867821861899e-01	5.868481230154689587e-01	4.410233603779789013e-01	3.614451767153558093e-01	4.209869625690250694e-01	3.841787784635886660e-01
1.820954675597325767e-01	5.463955483040936478e-01	2.561887737590318737e-01	4.819229125672335745e-01	4.523730151933204602e-01	3.918850301739666975e-01	2.097670842698202975e-01	5.181307765183198466e-01
