4.468761653847918014e-01	4.684770553168585150e-01	3.108143975584190533e-01	6.948942967617420807e-01	4.103906304337405775e-01	4.323680606692975048e-01	6.022221315170122047e-01	5.478140990970159496e-01
4.798763852945904240e-01	2.716674768198108492e-01	8.416983605338410612e-01	7.309396721822940535e-01	7.925752354937870559e-01	4.919931232361992035e-01	4.278201796390427303e-01	6.965423585952593699e-01
8.939015064279565159e-01	5.476093044858865166e-01	6.346441212804534437e-01	7.787564260279757899e-01	7.638054126259438137e-01	7.764694364457233045e-01	3.544616735549733222e-01	1.000000000000000000e+00
2.804390159402999072e-01	8.090259503770376170e-01	8.434774571319838543e-01	8.302321974752868705e-01	6.153232167709276057e-01	6.631182138871259957e-01	5.901294150810478811e-01	7.469365764958209031e-01
7.997465262787178952e-01	6.555401971254498639e-01	9.164368879060458273e-01	7.746134942477267415e-01	8.458086667273213566e-01	6.462765473982543529e-01	5.063446244680139818e-01	7.267463115196254320e-01
5.494858208192446858e-01	6.565994398414930489e-01	3.611444714297680214e-01	7.832523733289610268e-01	4.906867353620791294e-01	6.491031188167465382e-01	9.366081659916837276e-01	4.766630985928325681e-01
4.498407757276213226e-01	6.824135793675489836e-01	7.256982802628881846e-01	7.511284119623473643e-01	5.729484122994383810e-01	3.347218031361445800e-01	5.244711082475083108e-01	5.933783177147665677e-01
3.369223062242938105e-01	1.926933566329250280e-01	7.153463866586869113e-02	3.452384608115042358e-02	2.929864804937641273e-02	2.389081068810592900e-01	5.088395514594833136e-02	3.346959841791737750e-02
2.940620555393463342e-01	5.373900613300850448e-01	1.478321105225605114e-01	2.383412845980386607e-01	4.247372493365660362e-01	9.428887628290628931e-02	3.044166668582613533e-01	1.815042134847784372e-01
1.147935220220155372e-01	4.858813949597770576e-02	2.143853669745147961e-01	3.230186794067452238e-01	5.026810878223030299e-01	4.078017158987682911e-01	3.399988546884507579e-01	1.510669017768640487e-01
2.283292406058148871e-01	2.357860289602135284e-01	2.445289272022933835e-01	1.386751814915689329e-01	2.032099666980294317e-01	1.765272286361850018e-01	5.568892149656531343e-01	3.089667536183700602e-01
3.693309788770622326e-01	2.667783341535254760e-01	3.440470188133905038e-01	5.007365649878623426e-01	2.335201314194930156e-01	6.174346284887539255e-02	4.789634563257862965e-01	2.323502069007295223e-01
1.981383125629396225e-01	2.952846233438523038e-01	4.348394201778584267e-01	3.926406492615063804e-01	4.350894229103347555e-01	2.380100162784798135e-01	4.741395858495205395e-01	5.045029189351885046e-01
8.354348883765720934e-01	4.489668460108292569e-02	4.707939398443613532e-01	4.000730042455869495e-01	6.905237311252456767e-01	8.530843591397156700e-02	2.107384315984270895e-01	3.096446239079747587e-01
6.435686546373864392e-02	5.367317350346156868e-01	2.511206452045646742e-01	7.567737887087391258e-01	4.133099499236740915e-01	7.109935596004199332e-02	4.000999402452704024e-01	1.287107972100290099e-01
7.166032327627759324e-01	4.052008783464473018e-01	7.401159035178748180e-01	4.544734094755904508e-01	3.631543019560291019e-01	5.270400294359386256e-02	1.214070673508028525e-01	2.045585893616469475e-01
4.156288752183247004e-01	2.823268795061114611e-01	2.141141507719422632e-01	3.211677189490351192e-01	4.436292436379261628e-01	4.059488362692720842e-01	3.143704221372898289e-01	4.523148807226762269e-01
4.053930887550238893e-01	6.396577005367152235e-01	2.677611528503415772e-01	3.425250872314449802e-01	5.494067251214078684e-01	3.894643442294622449e-01	9.175564018901122276e-01	1.105901878709253106e-01
1.508833332915894831e-01	6.069307752928670974e-01	4.797886481529943237e-01	7.975638698535640891e-01	5.740018065954975990e-01	6.458484703434931307e-01	5.101703718282346589e-01	6.521006593185403322e-01
5.303282881014755867e-01	3.706704116668116389e-01	1.869956178526137880e-01	7.361735121790694558e-01	1.568159312925905546e-01	1.466147002211837247e-01	4.806348450368494452e-01	4.504843507876988840e-01
2.401504471088471981e-01	3.318920497221575228e-01	2.330752084866065943e-01	5.349336882413604499e-01	5.347599869319646926e-01	4.011985368247646400e-01	2.888539652368888877e-01	5.881690970257982265e-01
8.611816207048854366e-02	2.731051396469253989e-01	6.217305779404925792e-01	2.004461431565191798e-01	4.418483082643817617e-01	6.462333471849520672e-01	4.971176328234240827e-01	4.684993137731567336e-01
4.341875175868759040e-01	5.848031714496241262e-01	2.243401921759682338e-01	2.660147848364102785e-01	2.063024608343208000e-01	6.017346348621522845e-01	1.048764351670364442e-01	2.036049970023890987e-01
1.093491858593063637e-01	2.781514690042734550e-01	5.853154964095315105e-01	5.077069704775628578e-01	1.086207760171550712e-01	2.737836055703253280e-01	2.029566473644932867e-01	5.177763506859818232e-01
1.606944693875246855e-01	3.075800364122631692e-01	2.881909281636366726e-01	6.497367083789842290e-01	3.236593226675455459e-01	4.815683905075747173e-01	3.506892817057277179e-01	5.321379583438082816e-01
8.862697028170261893e-02	1.307173660376627355e-01	4.996178015924486182e-01	1.088477058212462684e-01	1.123662407486829412e-01	1.926611784282678819e-01	2.658807842458217885e-01	3.438358645480057985e-01
2.142035745696395932e-01	2.405762632237891385e-01	8.667872369355737738e-02	3.522231419761361337e-01	4.574584879539841942e-01	1.760681918427709214e-01	5.049999952696234695e-01	3.828818231899518976e-01
1.134253818850618073e-01	1.910050043993902491e-01	1.676856709366318643e-01	3.395244756544795739e-01	5.768176115703562701e-01	1.743662447077878874e-01	2.215794974215571644e-01	3.222123248527566375e-01
4.670156718867503054e-01	1.613055659762094862e-01	4.708751086680567632e-01	3.012756204779794000e-01	3.967488281199476052e-01	3.663413832727581143e-01	8.487156942438840723e-02	9.046444733165394381e-02
3.391244229112487796e-01	2.777149293960485266e-01	3.388876418812877267e-01	4.873204250675212124e-01	1.695735123183787496e-01	9.984632986681425681e-02	4.531336606880183027e-01	9.405546827325214632e-02
2.224712549532295858e-01	1.811768673036749655e-01	2.607212616161216912e-01	1.289757642616757849e-01	2.091138690276496681e-01	1.344176291529454725e-01	3.779623027831150450e-01	7.767309974094629976e-02
1.756368176605554443e-01	3.517895714464248647e-01	2.541226668874122518e-01	3.263351448602540006e-01	1.237290448308107776e-01	1.626969770301551210e-01	1.217788276138573600e-01	4.601308817913222771e-01
4.192783820277377060e-01	3.758231267076284077e-01	3.984286937290575925e-01	1.531397043611305020e-01	1.641114268190027869e-01	1.145860689092770834e-01	1.043996690943523736e-01	7.526982387730161983e-02
2.178360400142827225e-01	3.129236061317522966e-01	3.728314536407311697e-01	4.194855451630600252e-01	4.831873115706400434e-01	3.694170697275468429e-01	1.365416514273262438e-01	4.891266788805032073e-01
5.107411276127888922e-01	3.283261316342561131e-01	2.198102125599811496e-01	1.375532154177730726e-01	2.704456882931237649e-01	2.873352206543625664e-01	5.256682477764371836e-02	3.783432055912532288e-01
5.960762981184888204e-02	4.345389291830601547e-02	2.075815035962423616e-01	3.113022355643184080e-01	9.717968587215043696e-02	2.662251461465828251e-01	1.962901184414082290e-01	8.417028064372281126e-02
